trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 1}",20,0,-146.69073691749324,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
149,False,"{'a': 0.5, 'e': 1}",25,3,-129.41783236316576,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
150,False,"{'a': 0.5, 'e': 1}",20,0,-97.28908850821534,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
151,False,"{'a': 0.5, 'e': 1}",20,0,-141.43223507903454,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 1}",25,0,-139.2095350757639,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
153,False,"{'a': 0.5, 'e': 1}",30,0,-229.45177714190837,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
154,False,"{'a': 0.5, 'e': 1}",30,0,-185.49410404057755,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
155,False,"{'a': 0.5, 'e': 1}",20,0,-39.84580930460658,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 1}",20,0,-61.16974456469925,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 1}",25,0,-119.0587526185135,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 1}",20,10,-46.60057205392386,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 1}",25,0,-155.5379673159825,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
160,False,"{'a': 0.5, 'e': 1}",25,0,-251.21813649926634,"{0: 8, 1: 2, 2: 11, 3: 1, 4: 3}",0
161,False,"{'a': 0.5, 'e': 1}",20,0,-143.69324542624707,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 1}",20,0,-165.9166263880478,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
163,False,"{'a': 0.5, 'e': 1}",20,0,-129.3875999607212,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
164,False,"{'a': 0.5, 'e': 1}",20,0,-69.44365522255993,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
